Designator,Footprint,Quantity,Quantity/board,Value,LCSC Part #,Cost,Running Cost
"C1, C14, C16, C17",402,8,4,100nF,C307331,0.032,0.032
"C12, C4",402,4,2,4.7uF,C19702,0.0196,0.0516
C15,402,2,1,10uF,C19702,0.0098,0.0614
C18,402,2,1,2.2nF,C1531,0.022,0.0834
C3,402,2,1,1uF,C52923,0.0058,0.0378
"D1, D2",402,4,2,LED,C71911,0.2808,0.37
L1,402,2,1,1uH,C531288,0.3312,0.7012
R1,402,2,1,620k,C11860,0.006,0.7072
"R10, R11, R12, R13, R14, R15, R4, R9",402,16,8,10K,C25531,0.014,0.7212
R2,402,2,1,111k,C1152,0.008,0.7292
R3,402,2,1,1M,C26083,0.0012,0.7304
R5,402,2,1,1.18K,C159137,0.01,0.7404
R6,402,2,1,1.13K,C67014,0.012,0.7524
"R7, R8",402,4,2,1.5K,C25867,0.0024,0.7548
"C10, C11, C2, C9",603,8,4,22uF,C52923,0.0696,0.8244
"C5, C6",603,4,2,10uF,C19702,0.0224,0.8468
C7,603,2,1,10pF,C1634,0.009,0.8558
C8,603,2,1,100nF,C14663,0.0048,0.8606
U2,ESP32-S3-WROOM-1,2,1,ESP32-S3-WROOM-1,https://www.aliexpress.com/item/1005008405001510.html?spm=a2g0o.cart.0.0.186438daN5XPTv&mp=1,11.58,12.4406
U5,InvenSense_QFN-24_4x4mm_P0.5mm,2,1,MPU-6050,C24112,13.41,25.8506
J1,JST_B2B-XH-A_LF__SN_,2,1,B2B-XH-A_LF__SN_,C158012,0.0978,25.9484
"J2, J4",PinHeader_1x22_P2.54mm_Vertical,4,2,Conn_01x12,https://www.aliexpress.com/item/4000988113226.html?spm=a2g0o.productlist.main.22.78fc5d654BIxDA&algo_pvid=1fd1bedd-4f7d-422c-8738-7bcee1d384c0&pdp_ext_f=%7B%22order%22%3A%221942%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000988113226%7C_p_origin_prod%3A,0.8,26.7484
,,,2,Conn_01x10,https://www.aliexpress.com/item/4000988113226.html?spm=a2g0o.productlist.main.22.78fc5d654BIxDA&algo_pvid=1fd1bedd-4f7d-422c-8738-7bcee1d384c0&pdp_ext_f=%7B%22order%22%3A%221942%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000988113226%7C_p_origin_prod%3A,0.75,27.4984
U4,SOIC127P600X180-16N,2,1,CH340C,C764026,1.167,28.6654
U3,Texas_S-PWSON-N10_ThermalVias,2,1,TPS63060,C48567,1.698,30.3634
"Q1, Q2",TRANS_SS8050-G,4,2,SS8050-G,C3199946,0.3075,30.6709
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,1,USB_C_Receptacle_USB2.0_16P,C165948,0.3388,31.0097
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,1,BQ24072RGT,C140288,1.878,32.8877
,COMPONENTS COST,,,,,,32.8877
