JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2025-11-10 18:25:51,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：6.0275,,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part #,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($),Running cost
"C1,C14,C15,C8",,100nF,402,,Select by System,CL05B104KO5NNNC,Samsung Electro-Mechanics,402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,8,8 JLCPCB,0.0096,0.0096
C3,,1uF,402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,2,2 JLCPCB,0.0058,0.0154
C4,,4.7uF,402,,Select by System,CL05A475MP5NRNC,Samsung Electro-Mechanics,402,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C23733,https://jlcpcb.com/partdetail/24469-CL05A475MP5NRNC/C23733,Basic,2,2 JLCPCB,0.0094,0.0248
"C5,C6",,10uF,603,,Select by System,CL10A106KP8NNNC,Samsung Electro-Mechanics,603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,4,4 JLCPCB,0.0224,0.0472
C7,,10pF,402,,Select by System,CL05C100JB5NNNC,Samsung Electro-Mechanics,402,10pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C32949,https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949,Basic,2,2 JLCPCB,0.0088,0.056
"C10,C11,C2,C9",,22uF,603,,Select by System,CL10A226MQ8NRNC,Samsung Electro-Mechanics,603,22uF 6.3V X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C59461,https://jlcpcb.com/partdetail/60514-CL10A226MQ8NRNC/C59461,Basic,8,8 JLCPCB,0.0696,0.1256
C12,,4.7uF,603,,Select by System,CL10A475KO8NNNC,Samsung Electro-Mechanics,603,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19666,https://jlcpcb.com/partdetail/20375-CL10A475KO8NNNC/C19666,Basic,2,2 JLCPCB,0.0184,0.144
C13,,10nF,402,,Select by System,CL05B103KB5NNNC,Samsung Electro-Mechanics,402,10nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C15195,https://jlcpcb.com/partdetail/15869-CL05B103KB5NNNC/C15195,Basic,2,2 JLCPCB,0.0028,0.1468
C16,,2.2uF,402,,Select by System,CL05A225MQ5NSNC,Samsung Electro-Mechanics,402,2.2uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C12530,https://jlcpcb.com/partdetail/13164-CL05A225MQ5NSNC/C12530,Basic,2,2 JLCPCB,0.0048,0.1516
"D1,D2",,LED,603,,Select by Customer,KT-0603R,Hubei KENTO Elec,603,-40℃~+85℃ 120° 2.4V 20mA 300mcd 40mW 615nm~630nm 645nm Red Water Clear 0603 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (KT-0603R) of this part does not match the one (LED) provided in your BOM. Please confirm;,C2286,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286,Basic,4,4 JLCPCB,0.0224,0.174
J1,,B2B-XH-A_LF__SN_,JST_B2B-XH-A_LF__SN_,,Select by System,B2B-XH-A(LF)(SN),JST,"插件,P=2.5mm","-25℃~+85℃ 1 1x2P 2 2.5mm 250V 2P 3A 5.75mm 7.4mm 7mm Brass K Pin PA66 Through Hole Tin UL94V-0 White XH Plugin,P=2.5mm Wire To Board Connector ROHS",Wire To Board Connector,,C158012,https://jlcpcb.com/partdetail/JST-B2B_XH_A_LF_SN/C158012,Extended,3,3 JLCPCB,0.0978,0.2718
J5,,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,2,2 JLCPCB,0.3388,0.6106
L1,,1uH,402,,Select by System,MLZ1005M1R0WT000,TDK,402,100mA 170MHz 1uH 350mΩ 450mA Multilayer Inductor ±20% 0402 Inductors (SMD) ROHS,Inductors (SMD),,C531288,https://jlcpcb.com/partdetail/TDK-MLZ1005M1R0WT000/C531288,Extended,6,6 JLCPCB,0.3312,0.9418
"Q1,Q2",,SS8050-G,TRANS_SS8050-G,,Select by System,SS8050-G,Comchip,SOT-23,"1 NPN 1.5A 100@10mA,1V 100MHz 100nA 25V 300mW 400mV@50mA,5mA 5V NPN SOT-23 Bipolar (BJT) ROHS",Bipolar (BJT),,C3199946,https://jlcpcb.com/partdetail/Comchip-SS8050G/C3199946,Extended,5,5 JLCPCB,0.3075,1.2493
R2,,120k,603,,Select by Customer,0603WAF1203T5E,UNI-ROYAL(Uniroyal Elec),603,-55℃~+155℃ 100mW 120kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF1203T5E) of this part does not match the one (120k) provided in your BOM. Please confirm;,C25808,https://jlcpcb.com/partdetail/26551-0603WAF1203T5E/C25808,Basic,2,2 JLCPCB,0.0022,1.2515
R3,,1M,603,,Select by Customer,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),603,-55℃~+155℃ 100mW 1MΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF1004T5E) of this part does not match the one (1M) provided in your BOM. Please confirm;,C22935,https://jlcpcb.com/partdetail/23662-0603WAF1004T5E/C22935,Basic,2,2 JLCPCB,0.0022,1.2537
